run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,avg_time_blue,avg_time_red
2026-04-24_0639,best_model_08_04,best_model_17_04,1,1,best_model_08_04,best_model_17_04,red,best_model_17_04,24,0.090766,0.063451
2026-04-24_0639,best_model_08_04,best_model_17_04,2,0,best_model_17_04,best_model_08_04,blue,best_model_17_04,25,0.063393,0.065559
2026-04-24_0639,best_model_08_04,best_model_17_04,3,1,best_model_08_04,best_model_17_04,red,best_model_17_04,24,0.070784,0.063083
2026-04-24_0639,best_model_08_04,best_model_17_04,4,0,best_model_17_04,best_model_08_04,blue,best_model_17_04,25,0.066098,0.066832
2026-04-24_0639,best_model_08_04,best_model_17_04,5,1,best_model_08_04,best_model_17_04,red,best_model_17_04,24,0.068610,0.066281
2026-04-24_0639,best_model_08_04,best_model_17_04,6,0,best_model_17_04,best_model_08_04,blue,best_model_17_04,25,0.064156,0.068739
2026-04-24_0639,best_model_08_04,best_model_17_04,7,1,best_model_08_04,best_model_17_04,red,best_model_17_04,24,0.069301,0.066537
2026-04-24_0639,best_model_08_04,best_model_17_04,8,0,best_model_17_04,best_model_08_04,blue,best_model_17_04,25,0.067265,0.067442
2026-04-24_0639,best_model_08_04,best_model_17_04,9,1,best_model_08_04,best_model_17_04,red,best_model_17_04,24,0.074998,0.067282
2026-04-24_0639,best_model_08_04,best_model_17_04,10,0,best_model_17_04,best_model_08_04,blue,best_model_17_04,25,0.068147,0.068670
2026-04-24_0639,best_model_08_04,best_model_17_04,11,1,best_model_08_04,best_model_17_04,red,best_model_17_04,24,0.067010,0.061908
2026-04-24_0639,best_model_08_04,best_model_17_04,12,0,best_model_17_04,best_model_08_04,blue,best_model_17_04,25,0.065155,0.064144
2026-04-24_0639,best_model_08_04,best_model_17_04,13,1,best_model_08_04,best_model_17_04,red,best_model_17_04,24,0.069848,0.062255
2026-04-24_0639,best_model_08_04,best_model_17_04,14,0,best_model_17_04,best_model_08_04,blue,best_model_17_04,25,0.064827,0.063931
