run_timestamp,name_a,name_b,game_index,a_is_blue,winner_name,total_moves,total_time,avg_time_blue,avg_time_red,sims,time_per_move
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,1,1,AlphaBeta,39,16.6733,0.401767,0.454613,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,2,0,AlphaBeta,22,10.0814,0.412840,0.503628,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,3,1,AlphaBeta,29,12.0372,0.378743,0.453984,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,4,0,claude_opus_4_7_xhigh,49,22.6713,0.419046,0.508106,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,5,1,claude_opus_4_7_xhigh,44,16.7255,0.345714,0.414517,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,6,0,AlphaBeta,22,8.8462,0.412673,0.391511,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,7,1,claude_opus_4_7_xhigh,50,17.9458,0.317454,0.400362,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,8,0,AlphaBeta,30,12.3066,0.366199,0.454220,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,9,1,claude_opus_4_7_xhigh,52,22.6453,0.448554,0.422396,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,10,0,AlphaBeta,26,11.9915,0.419641,0.502764,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,11,1,claude_opus_4_7_xhigh,52,17.8169,0.317437,0.367813,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,12,0,claude_opus_4_7_xhigh,61,24.8487,0.380919,0.434642,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,13,1,AlphaBeta,43,14.5565,0.310692,0.367670,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,14,0,AlphaBeta,22,9.3665,0.418895,0.432581,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,15,1,AlphaBeta,31,13.3775,0.410321,0.454142,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,16,0,claude_opus_4_7_xhigh,43,20.2964,0.395936,0.551680,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,17,1,claude_opus_4_7_xhigh,62,25.0983,0.383068,0.426536,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,18,0,AlphaBeta,24,10.2609,0.417515,0.437537,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,19,1,claude_opus_4_7_xhigh,42,17.0078,0.398569,0.411308,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,20,0,AlphaBeta,28,11.9182,0.426546,0.424734,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,21,1,AlphaBeta,35,12.6524,0.399513,0.321226,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,22,0,claude_opus_4_7_xhigh,61,27.0842,0.381576,0.508478,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,23,1,claude_opus_4_7_xhigh,42,18.1866,0.451760,0.414250,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,24,0,claude_opus_4_7_xhigh,43,17.2320,0.352122,0.451655,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,25,1,claude_opus_4_7_xhigh,46,17.9875,0.358196,0.423847,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,26,0,claude_opus_4_7_xhigh,57,25.1136,0.407837,0.474485,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,27,1,AlphaBeta,39,15.5249,0.344181,0.454788,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,28,0,claude_opus_4_7_xhigh,41,17.4245,0.378588,0.473683,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,29,1,claude_opus_4_7_xhigh,48,18.6333,0.341040,0.435330,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,30,0,claude_opus_4_7_xhigh,75,40.0993,0.406723,0.666019,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,31,1,claude_opus_4_7_xhigh,50,19.7327,0.384821,0.404465,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,32,0,AlphaBeta,36,15.0477,0.404602,0.431358,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,33,1,AlphaBeta,27,10.8001,0.379244,0.422342,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,34,0,AlphaBeta,22,8.6802,0.418360,0.370725,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,35,1,AlphaBeta,37,11.8837,0.337975,0.303438,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,36,0,claude_opus_4_7_xhigh,45,20.7072,0.415397,0.506935,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,37,1,claude_opus_4_7_xhigh,52,20.4903,0.363234,0.424831,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,38,0,claude_opus_4_7_xhigh,35,15.2471,0.382238,0.492140,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,39,1,claude_opus_4_7_xhigh,44,14.3293,0.340968,0.310347,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,40,0,AlphaBeta,24,10.8696,0.416327,0.489446,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,41,1,AlphaBeta,33,13.8624,0.381884,0.460630,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,42,0,claude_opus_4_7_xhigh,55,24.6040,0.392047,0.504663,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,43,1,claude_opus_4_7_xhigh,40,16.8700,0.433385,0.410094,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,44,0,AlphaBeta,22,9.6114,0.413997,0.459742,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,45,1,AlphaBeta,49,15.7479,0.297242,0.346515,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,46,0,AlphaBeta,22,10.1443,0.415502,0.506683,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,47,1,AlphaBeta,25,10.0818,0.355517,0.454989,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,48,0,AlphaBeta,26,10.9820,0.419872,0.424874,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,49,1,claude_opus_4_7_xhigh,44,11.8159,0.308815,0.228257,600,0.5
2026-04-26_2259,AlphaBeta,claude_opus_4_7_xhigh,50,0,claude_opus_4_7_xhigh,39,17.5671,0.397122,0.506535,600,0.5
