run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
2026-04-13_0431,Random,AlphaBeta,1,1,Random,AlphaBeta,red,AlphaBeta,22,0.5512,0.000028,0.050057
2026-04-13_0431,Random,AlphaBeta,2,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0677,0.005611,0.000017
2026-04-13_0431,Random,AlphaBeta,3,1,Random,AlphaBeta,red,AlphaBeta,22,0.0798,0.000016,0.007216
2026-04-13_0431,Random,AlphaBeta,4,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0664,0.005505,0.000016
2026-04-13_0431,Random,AlphaBeta,5,1,Random,AlphaBeta,red,AlphaBeta,22,0.0902,0.000016,0.008170
2026-04-13_0431,Random,AlphaBeta,6,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0642,0.005326,0.000016
2026-04-13_0431,Random,AlphaBeta,7,1,Random,AlphaBeta,red,AlphaBeta,22,0.0800,0.000017,0.007236
2026-04-13_0431,Random,AlphaBeta,8,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0626,0.005189,0.000016
2026-04-13_0431,Random,AlphaBeta,9,1,Random,AlphaBeta,red,AlphaBeta,22,0.0882,0.000016,0.007980
2026-04-13_0431,Random,AlphaBeta,10,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0664,0.005507,0.000016
2026-04-13_0431,Random,AlphaBeta,11,1,Random,AlphaBeta,red,AlphaBeta,28,0.1177,0.000017,0.008369
2026-04-13_0431,Random,AlphaBeta,12,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0617,0.005112,0.000016
2026-04-13_0431,Random,AlphaBeta,13,1,Random,AlphaBeta,red,AlphaBeta,22,0.0855,0.000017,0.007739
2026-04-13_0431,Random,AlphaBeta,14,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0543,0.004915,0.000017
2026-04-13_0431,Random,AlphaBeta,15,1,Random,AlphaBeta,red,AlphaBeta,22,0.0764,0.000017,0.006909
2026-04-13_0431,Random,AlphaBeta,16,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0574,0.005194,0.000017
2026-04-13_0431,Random,AlphaBeta,17,1,Random,AlphaBeta,red,AlphaBeta,24,0.0876,0.000016,0.007266
2026-04-13_0431,Random,AlphaBeta,18,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0553,0.005007,0.000016
2026-04-13_0431,Random,AlphaBeta,19,1,Random,AlphaBeta,red,AlphaBeta,22,0.0855,0.000016,0.007735
2026-04-13_0431,Random,AlphaBeta,20,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0551,0.004985,0.000017
2026-04-13_0431,Random,AlphaBeta,21,1,Random,AlphaBeta,red,AlphaBeta,22,0.0899,0.000016,0.008140
2026-04-13_0431,Random,AlphaBeta,22,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0530,0.004789,0.000017
2026-04-13_0431,Random,AlphaBeta,23,1,Random,AlphaBeta,red,AlphaBeta,22,0.0791,0.000016,0.007160
2026-04-13_0431,Random,AlphaBeta,24,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0595,0.005384,0.000017
2026-04-13_0431,Random,AlphaBeta,25,1,Random,AlphaBeta,red,AlphaBeta,22,0.0829,0.000016,0.007499
2026-04-13_0431,Random,AlphaBeta,26,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0660,0.005050,0.000017
2026-04-13_0431,Random,AlphaBeta,27,1,Random,AlphaBeta,red,AlphaBeta,22,0.0803,0.000016,0.007265
2026-04-13_0431,Random,AlphaBeta,28,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0561,0.005077,0.000016
2026-04-13_0431,Random,AlphaBeta,29,1,Random,AlphaBeta,red,AlphaBeta,22,0.0818,0.000017,0.007401
2026-04-13_0431,Random,AlphaBeta,30,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0648,0.005373,0.000017
2026-04-13_0431,Random,AlphaBeta,31,1,Random,AlphaBeta,red,AlphaBeta,24,0.0723,0.000017,0.005995
2026-04-13_0431,Random,AlphaBeta,32,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0573,0.005180,0.000017
2026-04-13_0431,Random,AlphaBeta,33,1,Random,AlphaBeta,red,AlphaBeta,22,0.0781,0.000016,0.007067
2026-04-13_0431,Random,AlphaBeta,34,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0626,0.005667,0.000017
2026-04-13_0431,Random,AlphaBeta,35,1,Random,AlphaBeta,red,AlphaBeta,22,0.0806,0.000016,0.007292
2026-04-13_0431,Random,AlphaBeta,36,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0613,0.005545,0.000017
2026-04-13_0431,Random,AlphaBeta,37,1,Random,AlphaBeta,red,AlphaBeta,26,0.0873,0.000016,0.006684
2026-04-13_0431,Random,AlphaBeta,38,0,AlphaBeta,Random,blue,AlphaBeta,27,0.0701,0.004979,0.000016
2026-04-13_0431,Random,AlphaBeta,39,1,Random,AlphaBeta,red,AlphaBeta,22,0.0763,0.000017,0.006904
2026-04-13_0431,Random,AlphaBeta,40,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0537,0.004855,0.000017
2026-04-13_0431,Random,AlphaBeta,41,1,Random,AlphaBeta,red,AlphaBeta,24,0.0676,0.000016,0.005608
2026-04-13_0431,Random,AlphaBeta,42,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0556,0.005032,0.000017
2026-04-13_0431,Random,AlphaBeta,43,1,Random,AlphaBeta,red,AlphaBeta,22,0.0659,0.000016,0.005961
2026-04-13_0431,Random,AlphaBeta,44,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0635,0.005268,0.000016
2026-04-13_0431,Random,AlphaBeta,45,1,Random,AlphaBeta,red,AlphaBeta,22,0.0847,0.000017,0.007669
2026-04-13_0431,Random,AlphaBeta,46,0,AlphaBeta,Random,blue,AlphaBeta,27,0.0843,0.005994,0.000017
2026-04-13_0431,Random,AlphaBeta,47,1,Random,AlphaBeta,red,AlphaBeta,22,0.0845,0.000017,0.007647
2026-04-13_0431,Random,AlphaBeta,48,0,AlphaBeta,Random,blue,AlphaBeta,27,0.0711,0.005049,0.000016
2026-04-13_0431,Random,AlphaBeta,49,1,Random,AlphaBeta,red,AlphaBeta,22,0.0756,0.000017,0.006839
2026-04-13_0431,Random,AlphaBeta,50,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0522,0.004721,0.000017
2026-04-13_0431,Random,AlphaBeta,51,1,Random,AlphaBeta,red,AlphaBeta,24,0.0998,0.000017,0.008281
2026-04-13_0431,Random,AlphaBeta,52,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0736,0.006104,0.000017
2026-04-13_0431,Random,AlphaBeta,53,1,Random,AlphaBeta,red,AlphaBeta,22,0.0688,0.000016,0.006222
2026-04-13_0431,Random,AlphaBeta,54,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0653,0.005416,0.000017
2026-04-13_0431,Random,AlphaBeta,55,1,Random,AlphaBeta,red,AlphaBeta,22,0.0692,0.000016,0.006257
2026-04-13_0431,Random,AlphaBeta,56,0,AlphaBeta,Random,blue,AlphaBeta,23,0.0565,0.004684,0.000017
2026-04-13_0431,Random,AlphaBeta,57,1,Random,AlphaBeta,red,AlphaBeta,22,0.0907,0.000017,0.008211
2026-04-13_0431,Random,AlphaBeta,58,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0630,0.005698,0.000017
2026-04-13_0431,Random,AlphaBeta,59,1,Random,AlphaBeta,red,AlphaBeta,24,0.0903,0.000017,0.007489
2026-04-13_0431,Random,AlphaBeta,60,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0678,0.005192,0.000017
2026-04-13_0431,Random,AlphaBeta,61,1,Random,AlphaBeta,red,AlphaBeta,22,0.0860,0.000017,0.007781
2026-04-13_0431,Random,AlphaBeta,62,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0641,0.004902,0.000017
2026-04-13_0431,Random,AlphaBeta,63,1,Random,AlphaBeta,red,AlphaBeta,22,0.0699,0.000016,0.006320
2026-04-13_0431,Random,AlphaBeta,64,0,AlphaBeta,Random,blue,AlphaBeta,21,0.0554,0.005014,0.000016
2026-04-13_0431,Random,AlphaBeta,65,1,Random,AlphaBeta,red,AlphaBeta,22,0.0818,0.000016,0.007396
2026-04-13_0431,Random,AlphaBeta,66,0,AlphaBeta,Random,blue,AlphaBeta,25,0.0725,0.005549,0.000017
