run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,avg_time_blue,avg_time_red
2026-04-23_0940,model_iter_0001,model_iter_0002,1,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,29,0.230172,0.243552
2026-04-23_0940,model_iter_0001,model_iter_0002,2,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,53,0.251579,0.252671
2026-04-23_0940,model_iter_0001,model_iter_0002,3,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,29,0.251581,0.266827
2026-04-23_0940,model_iter_0001,model_iter_0002,4,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,53,0.279194,0.283364
2026-04-23_0940,model_iter_0001,model_iter_0002,5,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,29,0.272958,0.294083
2026-04-23_0940,model_iter_0001,model_iter_0002,6,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,53,0.281749,0.285659
2026-04-23_0940,model_iter_0001,model_iter_0002,7,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,29,0.271526,0.283413
2026-04-23_0940,model_iter_0001,model_iter_0002,8,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,53,0.264902,0.267822
2026-04-23_0940,model_iter_0001,model_iter_0002,9,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,29,0.253513,0.268471
2026-04-23_0940,model_iter_0001,model_iter_0002,10,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,53,0.267138,0.267636
2026-04-23_0940,model_iter_0001,model_iter_0002,11,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,29,0.253763,0.269373
2026-04-23_0940,model_iter_0001,model_iter_0002,12,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,53,0.278567,0.278705
2026-04-23_0940,model_iter_0001,model_iter_0002,13,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,29,0.257801,0.277737
2026-04-23_0940,model_iter_0001,model_iter_0002,14,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,53,0.278171,0.283796
2026-04-23_0940,model_iter_0001,model_iter_0002,15,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,29,0.270996,0.281788
2026-04-23_0940,model_iter_0001,model_iter_0002,16,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,53,0.276644,0.276213
2026-04-23_0940,model_iter_0001,model_iter_0002,17,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,29,0.274279,0.295030
2026-04-23_0940,model_iter_0001,model_iter_0002,18,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,53,0.269825,0.271241
2026-04-23_0940,model_iter_0001,model_iter_0002,19,1,model_iter_0001,model_iter_0002,blue,model_iter_0001,29,0.274873,0.292025
2026-04-23_0940,model_iter_0001,model_iter_0002,20,0,model_iter_0002,model_iter_0001,blue,model_iter_0002,53,0.269538,0.267992
2026-04-23_0940,model_iter_0001,model_iter_0003,1,1,model_iter_0001,model_iter_0003,blue,model_iter_0001,53,0.279942,0.290578
