checkpoint,ckpt_date,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
best_model_03_04,2026-04-03,AlphaZero,Random,1,1,AlphaZero,Random,blue,AlphaZero,71,1.4357,0.039818,0.000036
best_model_03_04,2026-04-03,AlphaZero,Random,2,0,Random,AlphaZero,blue,Random,113,1.7007,0.000021,0.030320
best_model_03_04,2026-04-03,AlphaZero,Random,3,1,AlphaZero,Random,blue,AlphaZero,93,1.5567,0.033070,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,4,0,Random,AlphaZero,red,AlphaZero,110,1.8951,0.000021,0.034388
best_model_03_04,2026-04-03,AlphaZero,Random,5,1,AlphaZero,Random,red,Random,88,1.5572,0.035330,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,6,0,Random,AlphaZero,red,AlphaZero,104,1.7884,0.000021,0.034331
best_model_03_04,2026-04-03,AlphaZero,Random,7,1,AlphaZero,Random,blue,AlphaZero,97,1.7978,0.036623,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,8,0,Random,AlphaZero,red,AlphaZero,114,1.9753,0.000021,0.034600
best_model_03_04,2026-04-03,AlphaZero,Random,9,1,AlphaZero,Random,blue,AlphaZero,113,1.8393,0.032192,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,10,0,Random,AlphaZero,red,AlphaZero,76,1.1590,0.000021,0.030453
best_model_03_04,2026-04-03,AlphaZero,Random,11,1,AlphaZero,Random,blue,AlphaZero,99,1.4732,0.029413,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,12,0,Random,AlphaZero,blue,Random,115,1.6780,0.000021,0.029380
best_model_03_04,2026-04-03,AlphaZero,Random,13,1,AlphaZero,Random,blue,AlphaZero,111,1.6417,0.029262,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,14,0,Random,AlphaZero,red,AlphaZero,108,1.6976,0.000021,0.031376
best_model_03_04,2026-04-03,AlphaZero,Random,15,1,AlphaZero,Random,blue,AlphaZero,91,1.4245,0.030915,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,16,0,Random,AlphaZero,red,AlphaZero,94,1.4304,0.000021,0.030384
best_model_03_04,2026-04-03,AlphaZero,Random,17,1,AlphaZero,Random,blue,AlphaZero,59,0.9687,0.032247,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,18,0,Random,AlphaZero,red,AlphaZero,98,1.4432,0.000033,0.029397
best_model_03_04,2026-04-03,AlphaZero,Random,19,1,AlphaZero,Random,blue,AlphaZero,83,1.3222,0.031433,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,20,0,Random,AlphaZero,red,AlphaZero,96,1.5467,0.000021,0.032170
best_model_03_04,2026-04-03,AlphaZero,Random,21,1,AlphaZero,Random,blue,AlphaZero,55,0.9443,0.033680,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,22,0,Random,AlphaZero,red,AlphaZero,102,1.6753,0.000021,0.032788
best_model_03_04,2026-04-03,AlphaZero,Random,23,1,AlphaZero,Random,blue,AlphaZero,87,1.4862,0.033722,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,24,0,Random,AlphaZero,red,AlphaZero,84,1.3215,0.000035,0.031406
best_model_03_04,2026-04-03,AlphaZero,Random,25,1,AlphaZero,Random,blue,AlphaZero,101,1.8136,0.035491,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,26,0,Random,AlphaZero,red,AlphaZero,70,1.1756,0.000021,0.033544
best_model_03_04,2026-04-03,AlphaZero,Random,27,1,AlphaZero,Random,blue,AlphaZero,93,1.5627,0.033207,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,28,0,Random,AlphaZero,red,AlphaZero,102,1.6562,0.000021,0.032424
best_model_03_04,2026-04-03,AlphaZero,Random,29,1,AlphaZero,Random,blue,AlphaZero,85,1.5013,0.034872,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,30,0,Random,AlphaZero,red,AlphaZero,102,1.9141,0.000021,0.037456
best_model_03_04,2026-04-03,AlphaZero,Random,31,1,AlphaZero,Random,blue,AlphaZero,83,1.2853,0.030561,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,32,0,Random,AlphaZero,red,AlphaZero,76,1.1936,0.000021,0.031357
best_model_03_04,2026-04-03,AlphaZero,Random,33,1,AlphaZero,Random,blue,AlphaZero,101,1.6113,0.031534,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,34,0,Random,AlphaZero,blue,Random,91,1.2922,0.000021,0.028675
best_model_03_04,2026-04-03,AlphaZero,Random,35,1,AlphaZero,Random,blue,AlphaZero,89,1.3114,0.029098,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,36,0,Random,AlphaZero,red,AlphaZero,60,0.9272,0.000021,0.030859
best_model_03_04,2026-04-03,AlphaZero,Random,37,1,AlphaZero,Random,blue,AlphaZero,107,1.6818,0.031079,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,38,0,Random,AlphaZero,red,AlphaZero,98,1.4247,0.000021,0.029031
best_model_03_04,2026-04-03,AlphaZero,Random,39,1,AlphaZero,Random,blue,AlphaZero,101,1.5919,0.031159,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,40,0,Random,AlphaZero,red,AlphaZero,100,1.4750,0.000033,0.029442
best_model_03_04,2026-04-03,AlphaZero,Random,41,1,AlphaZero,Random,blue,AlphaZero,83,1.2720,0.030245,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,42,0,Random,AlphaZero,red,AlphaZero,94,1.4347,0.000021,0.030479
best_model_03_04,2026-04-03,AlphaZero,Random,43,1,AlphaZero,Random,blue,AlphaZero,105,1.6970,0.031957,0.000021
best_model_03_04,2026-04-03,AlphaZero,Random,44,0,Random,AlphaZero,red,AlphaZero,116,1.8866,0.000024,0.032457
