run_timestamp,name_a,name_b,game_index,a_is_blue,winner_name,total_moves,total_time,avg_time_blue,avg_time_red,sims,time_per_move
2026-04-26_1427,Random,AlphaBeta,1,1,AlphaBeta,22,6.1507,0.000035,0.559101,200,0.5
2026-04-26_1427,Random,AlphaBeta,2,0,AlphaBeta,23,4.7796,0.398275,0.000022,200,0.5
2026-04-26_1427,Random,AlphaBeta,3,1,AlphaBeta,24,5.6402,0.000021,0.469978,200,0.5
2026-04-26_1427,Random,AlphaBeta,4,0,AlphaBeta,21,3.7841,0.343984,0.000021,200,0.5
2026-04-26_1427,Random,AlphaBeta,5,1,AlphaBeta,22,5.1598,0.000023,0.469038,200,0.5
2026-04-26_1427,Random,AlphaBeta,6,0,AlphaBeta,21,3.9183,0.356177,0.000021,200,0.5
2026-04-26_1427,Random,AlphaBeta,7,1,AlphaBeta,24,6.8875,0.000022,0.573920,200,0.5
2026-04-26_1427,Random,AlphaBeta,8,0,AlphaBeta,21,3.9271,0.356984,0.000022,200,0.5
2026-04-26_1427,Random,AlphaBeta,9,1,AlphaBeta,28,6.8940,0.000028,0.492386,200,0.5
2026-04-26_1427,Random,AlphaBeta,10,0,AlphaBeta,21,4.0145,0.364921,0.000030,200,0.5
2026-04-26_1427,Random,AlphaBeta,11,1,AlphaBeta,22,5.5118,0.000030,0.501028,200,0.5
2026-04-26_1427,Random,AlphaBeta,12,0,AlphaBeta,21,3.9699,0.360866,0.000028,200,0.5
2026-04-26_1427,Random,AlphaBeta,13,1,AlphaBeta,22,5.9140,0.000031,0.537588,200,0.5
2026-04-26_1427,Random,AlphaBeta,14,0,AlphaBeta,21,3.7285,0.338917,0.000028,200,0.5
2026-04-26_1427,Random,AlphaBeta,15,1,AlphaBeta,28,6.6185,0.000031,0.472703,200,0.5
2026-04-26_1427,Random,AlphaBeta,16,0,AlphaBeta,21,3.7538,0.341221,0.000031,200,0.5
2026-04-26_1427,Random,AlphaBeta,17,1,AlphaBeta,22,6.4050,0.000032,0.582222,200,0.5
2026-04-26_1427,Random,AlphaBeta,18,0,AlphaBeta,21,4.1929,0.381139,0.000031,200,0.5
2026-04-26_1427,Random,AlphaBeta,19,1,AlphaBeta,24,5.2259,0.000025,0.435452,200,0.5
2026-04-26_1427,Random,AlphaBeta,20,0,AlphaBeta,21,3.8142,0.346710,0.000025,200,0.5
2026-04-26_1427,Random,AlphaBeta,21,1,AlphaBeta,22,6.0449,0.000027,0.549488,200,0.5
2026-04-26_1427,Random,AlphaBeta,22,0,AlphaBeta,25,6.5543,0.504132,0.000032,200,0.5
2026-04-26_1427,Random,AlphaBeta,23,1,AlphaBeta,22,6.0529,0.000030,0.550211,200,0.5
2026-04-26_1427,Random,AlphaBeta,24,0,AlphaBeta,21,3.2625,0.296556,0.000028,200,0.5
2026-04-26_1427,Random,AlphaBeta,25,1,AlphaBeta,22,4.8843,0.000028,0.443981,200,0.5
2026-04-26_1427,Random,AlphaBeta,26,0,AlphaBeta,21,3.9700,0.360873,0.000030,200,0.5
2026-04-26_1427,Random,AlphaBeta,27,1,AlphaBeta,22,5.2195,0.000030,0.474452,200,0.5
2026-04-26_1427,Random,AlphaBeta,28,0,AlphaBeta,21,4.8431,0.440236,0.000033,200,0.5
2026-04-26_1427,Random,AlphaBeta,29,1,AlphaBeta,22,5.4998,0.000032,0.499933,200,0.5
2026-04-26_1427,Random,AlphaBeta,30,0,AlphaBeta,21,4.9588,0.450758,0.000036,200,0.5
2026-04-26_1427,Random,AlphaBeta,31,1,AlphaBeta,24,5.3731,0.000030,0.447713,200,0.5
2026-04-26_1427,Random,AlphaBeta,32,0,AlphaBeta,23,4.4316,0.369263,0.000030,200,0.5
2026-04-26_1427,Random,AlphaBeta,33,1,AlphaBeta,22,5.3648,0.000029,0.487662,200,0.5
2026-04-26_1427,Random,AlphaBeta,34,0,AlphaBeta,23,4.4658,0.372112,0.000031,200,0.5
2026-04-26_1427,Random,AlphaBeta,35,1,AlphaBeta,22,6.3804,0.000035,0.579986,200,0.5
2026-04-26_1427,Random,AlphaBeta,36,0,AlphaBeta,29,5.4587,0.363871,0.000033,200,0.5
2026-04-26_1427,Random,AlphaBeta,37,1,AlphaBeta,22,5.9052,0.000032,0.536784,200,0.5
2026-04-26_1427,Random,AlphaBeta,38,0,AlphaBeta,23,3.3577,0.279772,0.000025,200,0.5
2026-04-26_1427,Random,AlphaBeta,39,1,AlphaBeta,22,5.8823,0.000029,0.534711,200,0.5
2026-04-26_1427,Random,AlphaBeta,40,0,AlphaBeta,21,3.4742,0.315803,0.000025,200,0.5
2026-04-26_1427,Random,AlphaBeta,41,1,AlphaBeta,22,4.8763,0.000028,0.443253,200,0.5
2026-04-26_1427,Random,AlphaBeta,42,0,AlphaBeta,23,4.6214,0.385084,0.000027,200,0.5
2026-04-26_1427,Random,AlphaBeta,43,1,AlphaBeta,24,6.1235,0.000029,0.510247,200,0.5
2026-04-26_1427,Random,AlphaBeta,44,0,AlphaBeta,23,4.6149,0.384537,0.000028,200,0.5
2026-04-26_1427,Random,AlphaBeta,45,1,AlphaBeta,24,6.0454,0.000031,0.503738,200,0.5
2026-04-26_1427,Random,AlphaBeta,46,0,AlphaBeta,21,4.4985,0.408915,0.000029,200,0.5
2026-04-26_1427,Random,AlphaBeta,47,1,AlphaBeta,22,5.8479,0.000030,0.531578,200,0.5
2026-04-26_1427,Random,AlphaBeta,48,0,AlphaBeta,21,4.6123,0.419263,0.000031,200,0.5
2026-04-26_1427,Random,AlphaBeta,49,1,AlphaBeta,24,5.6045,0.000031,0.466993,200,0.5
2026-04-26_1427,Random,AlphaBeta,50,0,AlphaBeta,21,4.7194,0.428997,0.000032,200,0.5
2026-04-26_1440,Random,MonteCarlo,1,1,MonteCarlo,32,7.5222,0.000014,0.470111,200,0.5
2026-04-26_1440,Random,MonteCarlo,2,0,MonteCarlo,87,21.6121,0.491135,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,3,1,MonteCarlo,34,8.0206,0.000013,0.471773,200,0.5
2026-04-26_1440,Random,MonteCarlo,4,0,MonteCarlo,95,23.6015,0.491645,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,5,1,MonteCarlo,32,7.5196,0.000013,0.469950,200,0.5
2026-04-26_1440,Random,MonteCarlo,6,0,MonteCarlo,87,21.6070,0.491018,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,7,1,MonteCarlo,28,6.5185,0.000013,0.465583,200,0.5
2026-04-26_1440,Random,MonteCarlo,8,0,MonteCarlo,87,21.6028,0.490923,0.000012,200,0.5
2026-04-26_1440,Random,MonteCarlo,9,1,MonteCarlo,36,8.5255,0.000013,0.473614,200,0.5
2026-04-26_1440,Random,MonteCarlo,10,0,MonteCarlo,85,21.0733,0.490039,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,11,1,MonteCarlo,32,7.5213,0.000013,0.470058,200,0.5
2026-04-26_1440,Random,MonteCarlo,12,0,MonteCarlo,85,21.1121,0.490922,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,13,1,MonteCarlo,34,8.0234,0.000013,0.471934,200,0.5
2026-04-26_1440,Random,MonteCarlo,14,0,MonteCarlo,95,23.6409,0.492453,0.000012,200,0.5
2026-04-26_1440,Random,MonteCarlo,15,1,MonteCarlo,34,8.0216,0.000013,0.471835,200,0.5
2026-04-26_1440,Random,MonteCarlo,16,0,MonteCarlo,83,20.6057,0.490559,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,17,1,MonteCarlo,26,6.0205,0.000013,0.463093,200,0.5
2026-04-26_1440,Random,MonteCarlo,18,0,MonteCarlo,71,17.5908,0.488591,0.000012,200,0.5
2026-04-26_1440,Random,MonteCarlo,19,1,MonteCarlo,32,7.5194,0.000013,0.469939,200,0.5
2026-04-26_1440,Random,MonteCarlo,20,0,MonteCarlo,87,21.6154,0.491201,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,21,1,MonteCarlo,32,7.5273,0.000013,0.470426,200,0.5
2026-04-26_1440,Random,MonteCarlo,22,0,MonteCarlo,93,23.1091,0.491628,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,23,1,MonteCarlo,32,7.5186,0.000013,0.469893,200,0.5
2026-04-26_1440,Random,MonteCarlo,24,0,MonteCarlo,87,21.6077,0.491031,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,25,1,MonteCarlo,46,11.0278,0.000012,0.479444,200,0.5
2026-04-26_1440,Random,MonteCarlo,26,0,MonteCarlo,89,22.1245,0.491591,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,27,1,MonteCarlo,46,11.0411,0.000013,0.480014,200,0.5
2026-04-26_1440,Random,MonteCarlo,28,0,MonteCarlo,83,20.5909,0.490212,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,29,1,MonteCarlo,28,6.5148,0.000013,0.465324,200,0.5
2026-04-26_1440,Random,MonteCarlo,30,0,MonteCarlo,87,21.5912,0.490664,0.000013,200,0.5
2026-04-26_1440,Random,MonteCarlo,31,1,MonteCarlo,30,7.0194,0.000012,0.467934,200,0.5
2026-04-26_1440,Random,MonteCarlo,32,0,Random,90,22.6177,0.502553,0.000012,200,0.5
