run_timestamp,name_a,name_b,game_index,a_is_blue,blue_name,red_name,winner,winner_name,total_moves,total_time,avg_time_blue,avg_time_red
2026-04-14_0846,Random,AlphaBeta,1,1,Random,AlphaBeta,red,AlphaBeta,22,5.8229,0.000031,0.529301
2026-04-14_0846,Random,AlphaBeta,2,0,AlphaBeta,Random,blue,AlphaBeta,23,5.4463,0.453832,0.000022
2026-04-14_0846,Random,AlphaBeta,3,1,Random,AlphaBeta,red,AlphaBeta,22,6.0729,0.000021,0.552039
2026-04-14_0846,Random,AlphaBeta,4,0,AlphaBeta,Random,blue,AlphaBeta,23,4.7060,0.392137,0.000022
2026-04-14_0846,Random,AlphaBeta,5,1,Random,AlphaBeta,red,AlphaBeta,22,4.8474,0.000021,0.440634
2026-04-14_0846,Random,AlphaBeta,6,0,AlphaBeta,Random,blue,AlphaBeta,25,4.5386,0.349096,0.000020
2026-04-14_0846,Random,AlphaBeta,7,1,Random,AlphaBeta,red,AlphaBeta,24,6.4067,0.000021,0.533855
2026-04-14_0846,Random,AlphaBeta,8,0,AlphaBeta,Random,blue,AlphaBeta,23,4.3706,0.364189,0.000021
2026-04-14_0846,Random,AlphaBeta,9,1,Random,AlphaBeta,red,AlphaBeta,22,5.8555,0.000024,0.532278
2026-04-14_0846,Random,AlphaBeta,10,0,AlphaBeta,Random,blue,AlphaBeta,27,5.4859,0.391813,0.000021
2026-04-14_0846,Random,AlphaBeta,11,1,Random,AlphaBeta,red,AlphaBeta,22,5.4616,0.000021,0.496472
2026-04-14_0846,Random,AlphaBeta,12,0,AlphaBeta,Random,blue,AlphaBeta,21,3.7317,0.339218,0.000021
2026-04-14_0846,Random,AlphaBeta,13,1,Random,AlphaBeta,red,AlphaBeta,22,5.5413,0.000021,0.503713
2026-04-14_0846,Random,AlphaBeta,14,0,AlphaBeta,Random,blue,AlphaBeta,21,3.8683,0.351633,0.000021
2026-04-14_0846,Random,AlphaBeta,15,1,Random,AlphaBeta,red,AlphaBeta,22,6.3577,0.000022,0.577933
2026-04-14_0846,Random,AlphaBeta,16,0,AlphaBeta,Random,blue,AlphaBeta,25,5.1685,0.397542,0.000022
2026-04-14_0846,Random,AlphaBeta,17,1,Random,AlphaBeta,red,AlphaBeta,24,5.6062,0.000024,0.467141
2026-04-14_0846,Random,AlphaBeta,18,0,AlphaBeta,Random,blue,AlphaBeta,23,4.1869,0.348881,0.000021
2026-04-14_0846,Random,AlphaBeta,19,1,Random,AlphaBeta,red,AlphaBeta,22,6.4744,0.000021,0.588541
2026-04-14_0846,Random,AlphaBeta,20,0,AlphaBeta,Random,blue,AlphaBeta,23,4.1968,0.349701,0.000021
2026-04-14_0846,Random,AlphaBeta,21,1,Random,AlphaBeta,red,AlphaBeta,22,5.7428,0.000021,0.522032
2026-04-14_0846,Random,AlphaBeta,22,0,AlphaBeta,Random,blue,AlphaBeta,21,4.3256,0.393202,0.000021
2026-04-14_0846,Random,AlphaBeta,23,1,Random,AlphaBeta,red,AlphaBeta,22,5.9072,0.000021,0.536979
2026-04-14_0846,Random,AlphaBeta,24,0,AlphaBeta,Random,blue,AlphaBeta,23,4.4557,0.371280,0.000021
2026-04-14_0846,Random,AlphaBeta,25,1,Random,AlphaBeta,red,AlphaBeta,22,6.0641,0.000021,0.551241
2026-04-14_0846,Random,AlphaBeta,26,0,AlphaBeta,Random,blue,AlphaBeta,25,4.9096,0.377634,0.000021
2026-04-14_0846,Random,AlphaBeta,27,1,Random,AlphaBeta,red,AlphaBeta,22,5.5993,0.000022,0.508983
2026-04-14_0846,Random,AlphaBeta,28,0,AlphaBeta,Random,blue,AlphaBeta,21,3.8424,0.349276,0.000021
2026-04-14_0846,Random,AlphaBeta,29,1,Random,AlphaBeta,red,AlphaBeta,22,5.8307,0.000021,0.530021
2026-04-14_0846,Random,AlphaBeta,30,0,AlphaBeta,Random,blue,AlphaBeta,23,4.1691,0.347395,0.000021
2026-04-14_0846,Random,AlphaBeta,31,1,Random,AlphaBeta,red,AlphaBeta,22,4.8528,0.000022,0.441129
2026-04-14_0846,Random,AlphaBeta,32,0,AlphaBeta,Random,blue,AlphaBeta,21,4.1019,0.372868,0.000022
2026-04-14_0846,Random,AlphaBeta,33,1,Random,AlphaBeta,red,AlphaBeta,22,5.0347,0.000021,0.457657
2026-04-14_0846,Random,AlphaBeta,34,0,AlphaBeta,Random,blue,AlphaBeta,25,4.8719,0.374730,0.000023
2026-04-14_0846,Random,AlphaBeta,35,1,Random,AlphaBeta,red,AlphaBeta,22,6.5034,0.000024,0.591171
2026-04-14_0846,Random,AlphaBeta,36,0,AlphaBeta,Random,blue,AlphaBeta,21,3.3850,0.307699,0.000020
2026-04-14_0846,Random,AlphaBeta,37,1,Random,AlphaBeta,red,AlphaBeta,22,5.8992,0.000020,0.536255
2026-04-14_0846,Random,AlphaBeta,38,0,AlphaBeta,Random,blue,AlphaBeta,25,4.8003,0.369226,0.000021
2026-04-14_0846,Random,AlphaBeta,39,1,Random,AlphaBeta,red,AlphaBeta,22,5.5162,0.000021,0.501432
2026-04-14_0846,Random,AlphaBeta,40,0,AlphaBeta,Random,blue,AlphaBeta,21,3.4203,0.310907,0.000020
2026-04-14_0846,Random,AlphaBeta,41,1,Random,AlphaBeta,red,AlphaBeta,24,6.1538,0.000021,0.512781
2026-04-14_0846,Random,AlphaBeta,42,0,AlphaBeta,Random,blue,AlphaBeta,21,3.6878,0.335220,0.000021
2026-04-14_0846,Random,AlphaBeta,43,1,Random,AlphaBeta,red,AlphaBeta,22,6.0252,0.000022,0.547700
2026-04-14_0846,Random,AlphaBeta,44,0,AlphaBeta,Random,blue,AlphaBeta,27,5.2094,0.372067,0.000021
2026-04-14_0846,Random,AlphaBeta,45,1,Random,AlphaBeta,red,AlphaBeta,22,5.4528,0.000021,0.495673
2026-04-14_0846,Random,AlphaBeta,46,0,AlphaBeta,Random,blue,AlphaBeta,25,4.5054,0.346538,0.000021
2026-04-14_0846,Random,AlphaBeta,47,1,Random,AlphaBeta,red,AlphaBeta,24,6.1926,0.000022,0.516012
2026-04-14_0846,Random,AlphaBeta,48,0,AlphaBeta,Random,blue,AlphaBeta,23,4.3802,0.364990,0.000022
2026-04-14_0846,Random,AlphaBeta,49,1,Random,AlphaBeta,red,AlphaBeta,22,6.0092,0.000022,0.546253
2026-04-14_0846,Random,AlphaBeta,50,0,AlphaBeta,Random,blue,AlphaBeta,25,4.5549,0.350345,0.000021
2026-04-14_0846,Random,AlphaBeta,51,1,Random,AlphaBeta,red,AlphaBeta,22,5.8341,0.000022,0.530330
2026-04-14_0846,Random,AlphaBeta,52,0,AlphaBeta,Random,blue,AlphaBeta,21,4.1624,0.378367,0.000022
2026-04-14_0846,Random,AlphaBeta,53,1,Random,AlphaBeta,red,AlphaBeta,22,5.6768,0.000022,0.516030
2026-04-14_0846,Random,AlphaBeta,54,0,AlphaBeta,Random,blue,AlphaBeta,21,3.9683,0.360724,0.000022
2026-04-14_0846,Random,AlphaBeta,55,1,Random,AlphaBeta,red,AlphaBeta,22,4.9109,0.000021,0.446407
2026-04-14_0846,Random,AlphaBeta,56,0,AlphaBeta,Random,blue,AlphaBeta,23,4.1878,0.348948,0.000022
2026-04-14_0846,Random,AlphaBeta,57,1,Random,AlphaBeta,red,AlphaBeta,24,7.0102,0.000021,0.584141
